no,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,Judul,deskripsi
75,3/16/2021,https://www.rumah123.com/properti/palembang/hos8039085/,950000000,Palembang,108,275,2,1,0,0,1,0,2200,SHM,Dua Rumah Dalam 1 Pagar di Jl. Sultan Muhammad Mansyur Palembang,"Rumah kondisi bagus dan terawat, Berada di dalam yang ramai penduduk. Cocok buat tempat tinggal, Kosan dan keperluan lainnya."
76,3/16/2021,https://www.rumah123.com/properti/palembang/hos8038434/,950000000,Palembang,170,90,3,2,0,0,0,1,1300,SHM,New Listing Rumah di Komplek PHDM 1 Celentang Palembang,"Rumah dengan lingkungan yang nyaman, aman security 24 jam, dekat dengan bandara, JM Kenten, PTC mall dll.cocok untuk hunian bersama keluarga anda."
77,3/10/2021,https://www.rumah123.com/properti/palembang/hos8019754/,1700000000,Palembang,150,105,4,3,0,0,1,0,2200,SHM,New Listing Rumah Nyaman Huni di Komplek Cluster Sommer Meadow Citra Grand City Palembang,"Rumah minimalis modern kualitas bangunan yang sangat baik,berlokasi di perumahan citra gran city palembang. komplek dengan lingkungan yang nyaman untuk keluarga yang tinggal dimperkantoran dengan lingkungan yang asri dengan penuh pepohonan dan keamanan 24 jam."
78,3/10/2021,https://www.rumah123.com/properti/palembang/hos8018830/,550000000,Palembang,150,75,2,2,0,0,0,1,2200,SHM,New Listing Rumah Siap Huni di Jl. Bali Perumnas Sako Palembang,"Rumah dengan lingkungan yang ramai, dekat dengan : pasar perumnas rs cabang charitas, SDN 105, SMPN 53, SMAN 16, Xaverius dan lainnya."
79,3/9/2021,https://www.rumah123.com/properti/palembang/hos8017159/,455000000,Palembang,75,54,2,1,0,0,0,0,1300,SHM,Rumah 54/75 Grand Flower Sekojo Sematang Borang Palembang,"Komplek One Gate Sistem, Carport, Tedmond, Taman, Minimarket, rumah ibadah."
80,2/5/2021,https://www.rumah123.com/properti/palembang/hos7879861/,650000000,Palembang,72,70,3,2,0,0,1,0,2200,SHM,Rumah Townhouse minimalis di Tengah Kota Palembang Demang Lebar Daun,"Jumlah lantai : 2, Harga : Rp 650.000.000,- , - Sertifikat Hak Milik ( SHM ) , - Listrik 2200 Watt, - Air PDAM, - Jalan Cor, - One Gate System"
81,3/11/2021,https://www.rumah.com/listing-properti/dijual-rumah-di-jalan-naska-palembang-oleh-ahmad-yani-18229360,1600000000,Palembang,704,300,4,2,0,0,1,0,2200,SHM,Dijual Rumah Di Jalan Naska Palembang,"Rumah kondisi bagus, berada Berada di jalan sukarela ,Posisi Rumah bebas banjir , Cocok untuk rumah Pribadi, Rumah dinas, Mess dan sesuai kebutuhan keluarga anda tercinta."
82,3/10/2021,https://www.rumah.com/listing-properti/dijual-rumah-jalan-kancil-putih-palembang-oleh-ahmad-yani-17207472,600000000,Palembang,153,54,2,1,0,0,0,0,1300,SHM,"Dijual Rumah Murah Jln Kancil Putih, Komplek Kencana Hati Palembang","Rumah siap huni, lokasi di dalam komplek aman dan nyaman, kawasan yang cocok untuk tempat tinggal keluarga. Akses jalan depan lebar, sudah padat dan ramai, deket Istana Gubernur, Bank BCA dan deket Unsri."
83,3/11/2021,https://www.rumah.com/listing-properti/dijual-rumah-mewah-dijual-di-palembang-oleh-ahmad-yani-16223732,3480000000,Palembang,200,120,4,4,0,0,2,0,2200,SHM,Dijual Rumah Mewah Di Palembang Taman Kenten Golf,"Rumah 3 lantai bagus, lokasi strategis dengan finishing, harga murah, lokasi mudah dijangkau, kawasan aman dan nyaman , cocok untuk tempat Rumah Pribadi maupun Kantor, dekat lapangan Golf,PTC Mall, akses jalan 2 mobil, bebas banjir dan tentunya sesuai kebutuhan anda."
84,3/20/2021,https://www.rumah.com/listing-properti/dijual-dijual-rumah-dekat-kfc-demang-oleh-henny-chrissye-18367108,675000000,Palembang,104,120,3,2,0,0,1,0,1300,SHM,Dijual Rumah dekat KFC Demang,"Dijual 2 Unit Townhouse siap Huni di Belakang KFC Demang, Palembang"
85,3/27/2021,https://www.rumah.com/listing-properti/dijual-rumah-strategis-pusat-kota-palembang-dekat-sekolah-kampus-rs-pusat-kuliner-oleh-nenny-thoiyibah-16393798,694000000,Palembang,127,80,3,1,0,0,2,0,2200,SHM,"Rumah strategis pusat kota Palembang, dekat sekolah, kampus, RS, pusat kuliner","Rumah dijual, dekat dengan pusat kota, dekat dengan fasilitas pendidikan, harga nego."
86,3/10/2021,https://www.rumah.com/listing-properti/dijual-villa-safari-indah-oleh-ana-juliana-16623898,950000000,Palembang,216,180,4,4,0,0,2,0,2200,SHM,Villa Safari Indah,"Dijual rumah 2lantai di komp villa safira indah,jln bambang utoyo,LT 216m2.LB 180m2, KT 3+1,unit,KM 4unit,Garasi,Carport..Harga Jual 950jt..Nego..."
87,3/27/2021,https://www.rumah.com/listing-properti/dijual-jual-rumah-town-house-2-lantai-di-palembang-oleh-zulfi-18378569,975000000,Palembang,190,250,4,4,0,0,2,0,3500,SHM,Jual Rumah Town House 2 Lantai di Palembang,"Lingkungan nyaman,asri,bebas banjir"
88,2/10/2021,https://www.rumah.com/listing-properti/dijual-rumah-mewah-dengan-kolam-renang-di-sako-palembang-oleh-zulfi-18126075,1350000000,Palembang,170,184,4,4,0,0,2,0,3500,SHM,"Rumah Mewah Dengan Kolam Renang Di Sako, Palembang",Hunian Mewah Dilengkapi Private Swimming Pool Harga : 1.35 Milyar (Nego) Hub : Zulfi : 08126801744
89,3/12/2021,https://www.rumah.com/listing-properti/dijual-rumah-villa-arafuru-indah-palembang-oleh-ana-juliana-16522742,950000000,Palembang,204,160,2,2,0,0,2,0,2200,SHM,Dijual Rumah Di Villa Arafuru Indah Palembang,Luas tanah 12x17.bangunan 160.km tdr 4.kmr mandi 4.hrg 950jt nego
